------------------------------
2015-01-13 18:14:28.258316
------------------------------
Bolivie
nb cat renseignees;nb fiches;% fiches
1;483;69.4964028777
2;64;9.20863309353
3;6;0.863309352518
4;1;0.143884892086
5;2;0.287769784173

------------------------------
2015-01-14 11:35:11.110042
------------------------------
1
nb cat renseignees;nb fiches;% fiches
0;139;20.0
1;483;69.4964028777
2;64;9.20863309353
3;6;0.863309352518
4;1;0.143884892086
5;2;0.287769784173

------------------------------
2015-01-14 11:36:24.171196
------------------------------
1
nb cat renseignees;nb fiches;% fiches
0;139;20.0
1;483;69.4964028777
2;64;9.20863309353
3;6;0.863309352518
4;1;0.143884892086
5;2;0.287769784173

------------------------------
2015-01-14 11:38:19.756119
------------------------------
1
nb cat renseignees;nb fiches;% fiches
0;139;20.0
1;483;69.4964028777
2;64;9.20863309353
3;6;0.863309352518
4;1;0.143884892086
5;2;0.287769784173

------------------------------
2015-01-14 11:41:36.692452
------------------------------
1
nb cat renseignees;nb fiches;% fiches
0;139;20.0
1;483;69.4964028777
2;64;9.20863309353
3;6;0.863309352518
4;1;0.143884892086
5;2;0.287769784173

------------------------------
2015-01-14 14:43:05.559352
------------------------------
1
nb cat renseignees;nb fiches;% fiches
0;139;20.0
1;483;69.4964028777
2;64;9.20863309353
3;6;0.863309352518
4;1;0.143884892086
5;2;0.287769784173

